MET file converted from FVCOM filessm_mc_20_0.83alb.dat
KT = coef of heat exchange (watts/m2/C) (not used), TE = equil temp (C) (not used)
 IO = PAR (E/m2/day), FD=Fraction of day, and WS = wind speed (m/s)
    JDAY    KT      TE      IO      FD      WS  
 269.500  14.940  23.030  28.775   0.458   3.112
 270.500  14.940  23.030  34.761   0.458   2.090
 271.500  14.940  23.030  36.355   0.458   3.850
 272.500  14.940  23.030  36.189   0.458   3.411
 273.500  14.940  23.030  34.441   0.458   1.284
 274.500  14.940  23.030  29.430   0.458   1.545
 275.500  14.940  23.030  30.975   0.458   1.162
 276.500  14.940  23.030  26.408   0.458   1.498
 277.500  14.940  23.030  15.570   0.455   1.186
 278.500  14.940  23.030  29.070   0.452   2.082
 279.500  14.940  23.030  30.621   0.448   2.648
 280.500  14.940  23.030  24.855   0.445   1.862
 281.500  14.940  23.030  15.888   0.441   2.460
 282.500  14.940  23.030  25.611   0.438   5.999
 283.500  14.940  23.030  13.908   0.435   3.814
 284.500  14.940  23.030  22.689   0.430   5.808
 285.500  14.940  23.030  28.029   0.426   3.230
 286.500  14.940  23.030  19.895   0.422   4.882
 287.500  14.940  23.030  21.228   0.418   2.308
 288.500  14.940  23.030  28.453   0.413   1.622
 289.500  14.940  23.030  14.926   0.409   4.835
 290.500  14.940  23.030  19.728   0.405   2.669
 291.500  14.940  23.030  16.448   0.401   3.603
 292.500  14.940  23.030   3.881   0.396   2.149
 293.500  14.940  23.030  24.486   0.392   1.718
 294.500  14.940  23.030  24.567   0.388   3.975
 295.500  14.940  23.030  23.339   0.384   1.248
 296.500  14.940  23.030   6.918   0.379   7.068
 297.500  14.940  23.030  25.617   0.375   6.767
 298.500  14.940  23.030  25.204   0.375   4.246
 299.500  14.940  23.030  23.731   0.375   2.074
 300.500  14.940  23.030  21.311   0.375   2.613
 301.500  14.940  23.030  19.350   0.375   3.052
 302.500  14.940  23.030  21.973   0.375   2.961
 303.500  14.940  23.030  21.920   0.375   4.515
 304.500  14.940  23.030  21.450   0.375   3.568
 305.500  14.940  23.030  21.901   0.375   3.448
 306.500  14.940  23.030  21.713   0.375   5.032
 307.500  14.940  23.030   8.926   0.375   8.814
 308.500  14.940  23.030  10.624   0.375   9.413
 309.500  14.940  23.030   8.475   0.375   5.332
 310.500  14.940  23.030  20.220   0.375   7.180
 311.500  14.940  23.030  17.491   0.375   5.900
 312.500  14.940  23.030  20.455   0.375   7.409
 313.500  14.940  23.030  11.936   0.375   5.923
 314.500  14.940  23.030  11.863   0.375   3.890
 315.500  14.940  23.030  17.316   0.375   2.301
 316.500  14.940  23.030  14.826   0.375   8.522
 317.500  14.940  23.030  13.111   0.375   6.093
 318.500  14.940  23.030  12.433   0.375   6.257
 319.500  14.940  23.030  16.245   0.372   5.979
 320.500  14.940  23.030   5.152   0.370   3.238
 321.500  14.940  23.030  12.050   0.367   7.601
 322.500  14.940  23.030   8.362   0.365   6.410
 323.500  14.940  23.030  12.345   0.362   5.783
 324.500  14.940  23.030   8.997   0.360   6.860
 325.500  14.940  23.030  14.322   0.357   2.050
 326.500  14.940  23.030   7.410   0.355   5.237
 327.500  14.940  23.030   5.985   0.352   4.655
 328.500  14.940  23.030   8.947   0.349   6.567
 329.500  14.940  23.030   8.882   0.347   3.606
 330.500  14.940  23.030   4.829   0.344   5.026
 331.500  14.940  23.030  13.234   0.342   7.724
 332.500  14.940  23.030   9.728   0.339   1.517
 333.500  14.940  23.030  12.826   0.334   4.200
 334.500  14.940  23.030  13.965   0.329   4.824
 335.500  14.940  23.030  13.142   0.324   4.159
 336.500  14.940  23.030  13.731   0.319   1.713
 337.500  14.940  23.030   9.368   0.314   3.212
 338.500  14.940  23.030  13.145   0.309   2.249
 339.500  14.940  23.030  13.239   0.304   4.500
 340.500  14.940  23.030   6.998   0.304   7.427
 341.500  14.940  23.030   3.565   0.304   7.981
 342.500  14.940  23.030   0.806   0.304   4.850
 343.500  14.940  23.030   5.932   0.304   2.715
 344.500  14.940  23.030   8.542   0.304   4.751
 345.500  14.940  23.030   9.703   0.304   5.197
 346.500  14.940  23.030  12.176   0.304   2.903
 347.500  14.940  23.030   3.302   0.301   6.598
 348.500  14.940  23.030   5.150   0.298   5.207
 349.500  14.940  23.030   6.974   0.296   8.608
 350.500  14.940  23.030   5.702   0.293   8.637
 351.500  14.940  23.030   3.513   0.291   5.476
 352.500  14.940  23.030   4.248   0.288  10.063
 353.500  14.940  23.030   6.437   0.286   7.851
 354.500  14.940  23.030   1.694   0.292   3.425
